,,,,,,,,,,,,Effective Dates,,,,,,,,
Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Month,Recieveing Email ,Entry to Warehouse ,Actual End,Cleaning,Inspection,Repair & Coating,Inspection After Repair,Status,Remarks
194,GT 20,,,,,Inspection,1,LPT Blade,NDT-QC,337-127-712-0,4,12/4/2025,14/04/25,14/04/25,,Completed,,,Completed, Ê”ÿ Å—”‰· NDT »«  ÃÂ?“«   ⁄„?—ﬁÿ⁄Â ”ÿÕ «?—›Ê?· »«“—”? ê—œ?œ.
195,Qeshm,,560208,CFM56-5B4/P,779213,"Cleaning, Inspection, Repair",35,HPT Blade,Engine Shop,2100M96P02,5,15/04/25,19/04/25,,Completed,,,,,"Å«?«‰  „?“ò«—?° œ— „—Õ·Â »«“—”?° ‰?«“„‰œ «ç Ê ‘«  Å?‰"
196,Qeshm,,560262,CFM56-5B4/P,779225,"Cleaning, Inspection, Repair",44,HPT Blade,Engine Shop,2100M96P02,5,15/04/25,19/04/25,,Completed,,,,,"Å«?«‰  „?“ò«—?° œ— „—Õ·Â »«“—”?° ‰?«“„‰œ «ç Ê ‘«  Å?‰"
197,560187,,560173,JT8D-219,709737,"Cleaning, Inspection, repair",146,LPT Blade stg 3 & 4,Engine Shop,"798403, 822504",5,19/04/25,20/04/25,,Completed,,,,,"Å«?«‰  „?“ò«—?° »«“—”? Å?‘—›  90%"
198,Kish Air,,560173,JT8D-219,709737,"Cleaning, Inspection",67,"Disk 3 & 4, Vane 2, 3 & 4",Engine Shop,List,5,21/04/25,23/04/25,,Completed,,,,,"Å«?«‰  „?“ò«—?° »«“—”? Å?‘—›  10%"
199,GT 20,,510001,CFM56,,Sandblast,1,1st Stage LPT Blade,NDT-QC,337-127-712-0,5,26/04/25,27/04/25,24/04/25,Completed,,,,Completed,
200,Kish Air,5025293,560141,CFM56-5B ,577860,"Cleaning, Inspection",8,"LLP (Booster Spool, Fan shaft,..)",Engine Shop,List,5,28/04/25,12/5/2025,,,,,,,œ— „—Õ·Â  „?“ò«—?
202,Taban,,560332,JT8D219,,"Cleaning, Inspection, Repair",64,HPT Blade Stage1,„⁄«Ê‰  ò”» Ê ò«—,856101,5,8/5/2025,8/5/2025,,Completed,,,,,"Å«?«‰  „?“ò«—? Ê ”‰œ»·«” ° œ— „—Õ·Â »«“—”?"
205,GT 20,,,,,"Cleaning, Inspection (FPI-4)",3,LPT Blade stg 3,NDT-QC,337-127-712-0,,13/05/25,14/05/25,14/05/25,Completed,Completed,,,Completed,
206,Zagros,5026220,560140,CFM56-5B4/P,779245,"Cleaning, Inspection, Repair",80, HPT Blade (80) ,Engine Shop,1957M10P03,5,18/05/25,,,,,,,,œ— „—Õ·Â «œ? ò«—‰ 
207,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,
Sum,-,-,,-,,-,68534,-,,,,-,-,-,,,,,0,-
Count,104,-,,104,,SOW,-,-,,,,-,-,-,,,,,0,-
